Regi¢n;Proveedor;PA;Nombre;Provincia;Distrito;Corregimiento;Sesiones;Estado
1;C&W Panam†;140;Parque Infantil (Orillas de la interamericana);Chiriqu°;Bugaba;La Concepci¢n;463;Normal
1;C&W Panam†;142;Primaria Justo Abel Castillo;Chiriqu°;Bugaba;La Concepci¢n;0;Fuerza Mayor
1;C&W Panam†;143;Centro de Salud La Estrella;Chiriqu°;Bugaba;La Estrella;1810;Normal
1;C&W Panam†;144;Esc. La Estrella;Chiriqu°;Bugaba;La Estrella;1641;Normal
1;C&W Panam†;145;ESC. LA TRANCA;Chiriqu°;Bugaba;La Estrella;173;Normal
1;C&W Panam†;146;Esc. Siogu° Abajo Nß 2;Chiriqu°;Bugaba;La Estrella;303;Normal
1;C&W Panam†;147;Esc. San AndrÇs;Chiriqu°;Bugaba;San AndrÇs;704;Normal
1;C&W Panam†;148;Esc. San Francisco;Chiriqu°;Bugaba;San AndrÇs;3073;Normal
1;C&W Panam†;149;P.C. San AndrÇs;Chiriqu°;Bugaba;San AndrÇs;74;Normal
1;C&W Panam†;150;Escuela Santa Marta;Chiriqu°;Bugaba;Santa Marta;276;Normal
1;C&W Panam†;151;Esc. Manchuila;Chiriqu°;Bugaba;Santo Domingo;1655;Normal
1;C&W Panam†;152;P.C. Santo Domingo;Chiriqu°;Bugaba;Santo Domingo;22;Normal
1;C&W Panam†;153;Centro de Salud Sortova;Chiriqu°;Bugaba;Sortov†;1195;Normal
1;C&W Panam†;154;Bomberos Volc†n;Chiriqu°;Tierras Altas;Volc†n;321;Normal
1;C&W Panam†;155;C.E.B.G. de Volc†n;Chiriqu°;Bugaba;Volc†n;479;Normal
1;C&W Panam†;156;Esc. El Bijao;Chiriqu°;Bugaba;Volc†n;0;Fuerza Mayor
1;C&W Panam†;157;Esc. El Valle.;Chiriqu°;Tierras Altas;Volc†n;279;Fuerza Mayor
1;C&W Panam†;158;Esc. Las Perlas;Chiriqu°;Tierras Altas;Volc†n;0;Fuerza Mayor
1;C&W Panam†;159;Parque Plaza Volc†n;Chiriqu°;Bugaba;Volc†n;151;Normal
1;C&W Panam†;160;Polic°a Nacional;Chiriqu°;Bugaba;Volc†n;601;Normal
1;C&W Panam†;161;Esc. Chiriqu°;Chiriqu°;David;Chiriqu°;151;Normal
1;C&W Panam†;162;Esc. Chorcha Abajo;Chiriqu°;David;Chiriqu°;735;Fuerza Mayor
1;C&W Panam†;163;Esc. El Veladero.;Chiriqu°;David;Chiriqu°;1762;Normal
1;C&W Panam†;164;Esc. La Pita;Chiriqu°;David;Chiriqu°;142;Normal
1;C&W Panam†;165;Esc. Cochea Arriba;Chiriqu°;David;Cochea;461;Normal
1;C&W Panam†;166;Aldeas Infantiles SOS;Chiriqu°;David;San JosÇ de David;777;Normal
1;C&W Panam†;169;Ave. Central David;Chiriqu°;David;San JosÇ de David;379;Normal
1;C&W Panam†;170;Biblioteca P£blica Santiago Anguizola CENTRO ACP;Chiriqu°;David;San JosÇ de David;273;Normal
1;C&W Panam†;171;Centro de Salud San Mateo;Chiriqu°;David;San JosÇ de David;574;Normal
1;C&W Panam†;172;Elisa Chiari;Chiriqu°;David;San JosÇ de David;120;Normal
1;C&W Panam†;173;Esc. Barriada Victoriano Lorenzo;Chiriqu°;David;San JosÇ de David;139;Normal
1;C&W Panam†;174;Esc. de Doleguita;Chiriqu°;David;San JosÇ de David;49;Fuerza Mayor
1;C&W Panam†;175;Esc. de Lassonde;Chiriqu°;David;San JosÇ de David;52;Normal
