name,province,district,county,type,lat,long,date
Escuela Guarare Arriba,Los Santos,Guarare,Guarare Arriba,FO,7.807896,-80.359272,24/11/2020
C.E.B.G Bilingue Estado de Qatar,Panama,Chepo,San Cristóbal de Chepo,FO,9.131692,-79.228064,
CEBG La Tosca,Panama,Chepo,Tortí,FO,9.036137,-78.600669,
Escuela Pedro Pablo Sanchez,Panama Oeste,La Chorrera,Barrio Balboa,FO,8.870115,-79.784796,
Policía Nacional Changuinola,Bocas del Toro,Changuinola,Changuinola,FO,9.44855,-82.518296,
Hospital Guillermo Sánchez Borbón,Bocas del Toro,Bocas del Toro,Bocas del Toro,FO,9.360542,-82.253091,
Escuela Portuchada,Darien,Pinogana,Metetí,FO,8.468139,-77.942749,
Escuela Arenal,Darien,Chepigana,Río Congo Arriba,FO,8.798137,-78.370531,
Escuela La Moneda,Darien,Chepigana,Río Iglesias,FO,8.587795,-78.05638,
Escuela Punuloso,Darien,Pinogana,Metetí,FO,8.526675,-77.986232,
Escuela Primaria José Isabel Herrera,Colon,Santa Isabel,Nombre de Dios,FO,9.580209,-79.46807,
CEBG San Vicente,Darien,Pinogana,Metetí,FO,8.566185,-78.031989,
Policlinica Nuevo San Juan,Colon,Colon,San Juan,FO,9.26102,-79.681348,
Parque Central Maria Chiquita,Colon,Portobelo,Maria Chiquita,FO,9.443438,-79.750679,
