name,province,district,county,type,lat,long
Esc. El Banco,Herrera,Pese,Rincón Hondo,Primaria Oficial,"7° 50' 9.400"""" N","80° 36' 59.595"""" W"
Esc. Las Cuestas,Herrera,Los Pozos,Los Pozos (Cab.),Primaria Oficial,"7° 49' 49.038"""" N","80° 40' 17.929"""" W"
Esc. Barro Blanco,Herrera,Los Pozos,Los Pozos (Cab.),Primaria Oficial,"7° 48' 33.883"""" N","80° 40' 31.086"""" W"
Esc. El Piro,Herrera,Los Pozos,Los Pozos (Cab.),Primaria Oficial,"7° 45' 52.712"""" N","80° 37' 51.343"""" W"
Esc. La LLanita de Bultrones,Herrera,Los Pozos,Los Pozos (Cab.),Primaria Oficial,"7° 46' 22.305"""" N","80° 41' 35.220"""" W"
Esc. Sabaneta de los Leones,Herrera,Los Pozos,Los Pozos (Cab.),Primaria Oficial,"7° 45' 45.160"""" N","80° 39' 27.611"""" W"
Esc. El Capurí,Herrera,Los Pozos,Capurí,Primaria Oficial,"7° 43' 35.433"""" N","80° 38' 32.487"""" W"
Esc. Jacintillo,Herrera,Los Pozos,Capurí,Primaria Oficial,"7° 44' 13.419"""" N","80° 39' 17.504"""" W"
Esc. Las Lagunitas,Herrera,Los Pozos,Capurí,Primaria Oficial,"7° 43' 48.460"""" N","80° 40' 12.629"""" W"
Esc. La Canoa,Herrera,Los Pozos,El Calabacito,Primaria Oficial,"7° 43' 9.542"""" N","80° 36' 41.852"""" W"
Esc. El Calabacito,Herrera,Los Pozos,El Calabacito,Primaria Oficial,"7° 43' 16.406"""" N","80° 35' 43.488"""" W"
Esc. Ojo de Agua,Herrera,Los Pozos,El Calabacito,Primaria Oficial,"7° 44' 6.327"""" N","80° 36' 57.783"""" W"
Esc. Gregorio Gónzalez,Herrera,Los Pozos,El Cedro,Primaria Oficial,"7° 41' 8.429"""" N","80° 39' 29.864"""" W"
Esc. La Arena,Herrera,Los Pozos,La Arena,Primaria Oficial,"7° 45' 5.671"""" N","80° 35' 30.743"""" W"
Esc. La Sabaneta,Herrera,Los Pozos,La Arena,Primaria Oficial,"7° 44' 55.448"""" N","80° 36' 58.442"""" W"
Esc. La Pitaloza,Herrera,Los Pozos,La Pitaloza,Primaria Oficial,"7° 38' 30.146"""" N","80° 40' 6.229"""" W"
Esc. Cañafístula,Herrera,Los Pozos,La Pitaloza,Primaria Oficial,"7° 38' 40.753"""" N","80° 39' 9.182"""" W"
Esc. Caracucho,Herrera,Los Pozos,La Pitaloza,Primaria Oficial,"7° 38' 33.418"""" N","80° 41' 14.676"""" W"
Esc. LLano Abajo,Herrera,Los Pozos,La Pitaloza,Primaria Oficial,"7° 39' 41.500"""" N","80° 41' 31.292"""" W"
Esc. LLano Arriba,Herrera,Los Pozos,La Pitaloza,Primaria Oficial,"7° 38' 52.308"""" N","80° 42' 28.258"""" W"
Esc. Cruce de Sta. Clara,Herrera,Los Pozos,La Pitaloza,Primaria Oficial,"7° 35' 15.676"""" N","80° 43' 9.926"""" W"
Esc. Los Peladeros,Herrera,Los Pozos,La Pitaloza,Primaria Oficial,"7° 39' 28.193"""" N","80° 43' 16.435"""" W"
Esc. El Chumico,Herrera,Los Pozos,Los Cerros de Paja,Primaria Oficial,"7° 45' 11.393"""" N","80° 41' 41.483"""" W"
Esc. Pan de Azúcar,Herrera,Los Pozos,Los Cerros de Paja,Primaria Oficial,"7° 44' 4.629"""" N","80° 41' 11.324"""" W"
Esc. Cerro de Paja,Herrera,Los Pozos,Los Cerros de Paja,Primaria Oficial,"7° 43' 18.102"""" N","80° 40' 14.826"""" W"
Esc. El Chorrillo,Herrera,Los Pozos,Los Cerros de Paja,Primaria Oficial,"7° 42' 58.361"""" N","80° 41' 56.259"""" W"
Esc. Las Pipas,Herrera,Los Pozos,Los Cerros de Paja,Primaria Oficial,"7° 42' 14.052"""" N","80° 41' 44.395"""" W"
Esc. El Salitre,Herrera,Los Pozos,Los Cerros de Paja,Primaria Oficial,"7° 40' 24.513"""" N","80° 42' 44.408"""" W"
P. C. Rafael Quintero,Herrera,Ocu,Ocu (Cab.),Secundaria Oficial,"7° 56' 43.396"""" N","80° 46' 51.356"""" W"
Esc. La Arena,Herrera,Ocu,Ocu (Cab.),Primaria Oficial,"7° 52' 58.056"""" N","80° 43' 28.382"""" W"
Esc. El Potrero,Herrera,Ocu,Ocu (Cab.),Primaria Oficial,"7° 53' 30.143"""" N","80° 46' 40.590"""" W"
Esc. Las Guabas,Herrera,Ocu,Ocu (Cab.),Primaria Oficial,"7° 54' 51.680"""" N","80° 48' 14.140"""" W"
Esc. Guayabito,Herrera,Ocu,Ocu (Cab.),Primaria Oficial,"7° 55' 2.950"""" N","80° 49' 25.168"""" W"
Esc. La Cabuya,Herrera,Ocu,Ocu (Cab.),Primaria Oficial,"7° 58' 56.875"""" N","80° 46' 1.231"""" W"
Esc. Los Bajos,Herrera,Ocu,Ocu (Cab.),Primaria Oficial,"7° 51' 58.696"""" N","80° 48' 15.513"""" W"
Esc. Rincón Grande,Herrera,Ocu,Ocu (Cab.),Primaria Oficial,"8° 0' 42.492"""" N","80° 50' 3.484"""" W"
Esc. Bernardino Barba,Herrera,Ocu,Ocu (Cab.),Primaria Oficial,"7° 52' 16.080"""" N","80° 45' 23.218"""" W"
Esc. Cristina R. de Pinzón,Herrera,Ocu,Llano Grande,Primaria Oficial,"7° 58' 27.028"""" N","80° 42' 31.882"""" W"
Esc. Rafael Quintero Villareal,Herrera,Ocu,Llano Grande,Primaria Oficial,"7° 59' 9.511"""" N","80° 42' 40.094"""" W"
Esc. Domingo Villalobos,Herrera,Ocu,Peñas Chatas,Primaria Oficial,"8° 1' 10.188"""" N","80° 48' 8.207"""" W"
Esc. Las Paredes,Herrera,Ocu,Peñas Chatas,Primaria Oficial,"8° 2' 3.309"""" N","80° 50' 47.264"""" W"
Esc. Dos Bocas,Herrera,Ocu,Peñas Chatas,Primaria Oficial,"8° 3' 28.116"""" N","80° 51' 11.791"""" W"
Esc. El Negrito,Herrera,Ocu,Peñas Chatas,Primaria Oficial,"8° 2' 33.900"""" N","80° 48' 21.940"""" W"
Esc. Sebastián Pinzón,Herrera,Santa Maria,Santa Maria (Cab.),Primaria Oficial,"8° 6' 52.943"""" N","80° 39' 44.201"""" W"
Esc. Melania P. de López,Herrera,Santa Maria,Chupampa,Primaria Oficial,"8° 4' 33.933"""" N","80° 46' 36.606"""" W"
Esc. Los Panamaés,Herrera,Santa Maria,Chupampa,Primaria Oficial,"8° 3' 48.647"""" N","80° 47' 45.135"""" W"
Esc. Maria de Villarreal,Herrera,Santa Maria,El Límón,Primaria Oficial,"8° 4' 28.093"""" N","80° 44' 43.254"""" W"
Esc. Los LLanos,Herrera,Ocu,Los Llanos,Primaria Oficial,"7° 55' 50.289"""" N","80° 52' 40.537"""" W"
Esc. Rincón Santo,Herrera,Ocu,Los Llanos,Primaria Oficial,"7° 58' 15.683"""" N","80° 51' 28.025"""" W"
Esc. Lastenia C. de Villarreal,Herrera,Ocu,Los Llanos,Primaria Oficial,"7° 57' 18.572"""" N","80° 50' 49.791"""" W"
Esc. Los Jaramillos,Herrera,Ocu,Los Llanos,Primaria Oficial,"7° 56' 7.307"""" N","80° 50' 20.953"""" W"
Esc. Gerardo Honorio Quintero,Herrera,Ocu,Los Llanos,Primaria Oficial,"7° 54' 0.291"""" N","80° 51' 59.749"""" W"
Esc. Gregorio Gil Corcobado,Herrera,Ocu,Los Llanos,Primaria Oficial,"7° 53' 58.807"""" N","80° 53' 15.062"""" W"
Esc. Entradero de Tijera,Herrera,Ocu,Los Llanos,Primaria Oficial,"7° 52' 16.717"""" N","80° 52' 1.918"""" W"
Esc. Los Potreros,Herrera,Ocu,Los Llanos,Primaria Oficial,"7° 54' 25.060"""" N","80° 55' 43.709"""" W"
Esc. Cerro Paja,Herrera,Ocu,El Tijeras,Primaria Oficial,"7° 51' 58.374"""" N","80° 53' 54.833"""" W"
Esc. Limón de Tijeras,Herrera,Ocu,El Tijeras,Primaria Oficial,"7° 49' 27.965"""" N","80° 54' 53.446"""" W"
Esc. Los Salitres,Herrera,Ocu,El Tijeras,Primaria Oficial,"7° 47' 22.586"""" N","80° 56' 3.374"""" W"
Esc. Inés P. Rodríguez,Herrera,Ocu,El Tijeras,Primaria Oficial,"7° 50' 46.423"""" N","80° 56' 30.540"""" W"
Esc. El Boqueron,Herrera,Ocu,El Tijeras,Primaria Oficial,"7° 52' 37.132"""" N","80° 55' 23.604"""" W"
Esc. Cerro Largo,Herrera,Ocu,Cerro Largo,Primaria Oficial,"7° 50' 20.453"""" N","80° 49' 51.426"""" W"
