name,province,district,county,type,lat,long
Esc. Las Margaritas,Panama,San Carlos,Los Llanitos,Primaria Oficial,"8° 34' 0.873"""" N","80° 4' 14.216"""" W"
Esc. La Ermita,Panama,San Carlos,La Ermita,Primaria Oficial,"8° 27' 36.109"""" N","80° 4' 9.764"""" W"
Esc. El Espino,Panama,San Carlos,El Espino,Primaria Oficial,"8° 28' 46.148"""" N","80° 0' 45.224"""" W"
Esc. El Higo,Panama,San Carlos,El Higo,Primaria Oficial,"8° 27' 4.786"""" N","80° 2' 11.689"""" W"
Esc. El Copecito,Panama,San Carlos,El Espino,Primaria Oficial,"8° 30' 50.458"""" N","80° 2' 11.661"""" W"
Esc. Los Pozos,Panama,Chame,Cabuya,Primaria Oficial,"8° 34' 7.035"""" N","79° 58' 26.903"""" W"
Esc. Colon,Panama,San Carlos,San Carlos (Cab.),Primaria Oficial,"8° 29' 57.089"""" N","79° 58' 18.004"""" W"
Esc. Las Uvas,Panama,San Carlos,Las Uvas,Primaria Oficial,"8° 27' 48.798"""" N","79° 59' 49.193"""" W"
Esc. Las Lajas,Panama,Chame,Las Lajas,Primaria Oficial,"8° 33' 8.589"""" N","79° 55' 55.180"""" W"
Esc. Roberto Eiseman,Panama,Chame,Las Lajas,Primaria Oficial,"8° 32' 34.676"""" N","79° 54' 51.239"""" W"
Esc. San José,Panama,San Carlos,San José,Primaria Oficial,"8° 32' 8.987"""" N","79° 55' 20.985"""" W"
Esc. Manuel B. Higuero,Panama,San Carlos,San Carlos (Cab.),Primaria Oficial,"8° 28' 31.467"""" N","79° 57' 10.741"""" W"
Esc. Los Llanitos,Panama,San Carlos,Los Llanitos,Primaria Oficial,"8° 35' 59.897"""" N","80° 5' 49.659"""" W"
Esc. Sorá,Panama,Chame,Sorá,Primaria Oficial,"8° 37' 57.499"""" N","80° 0' 32.369"""" W"
Esc. LLano Grande,Panama,Chame,Buenos Aires,Primaria Oficial,"8° 37' 30.788"""" N","79° 55' 43.231"""" W"
Esc. Jacinta M. Henríquez,Panama,Chame,Buenos Aires,Primaria Oficial,"8° 37' 53.303"""" N","79° 56' 44.619"""" W"
Esc. Bajo del Rio,Panama,Chame,Buenos Aires,Primaria Oficial,"8° 38' 16.856"""" N","79° 57' 30.049"""" W"
Esc. Rufina González,Panama,Chame,Cabuya,Primaria Oficial,"8° 34' 30.827"""" N","79° 55' 23.072"""" W"
Esc. El Mangote,Panama,Chame,Bejuco,Primaria Oficial,"8° 36' 32.341"""" N","79° 52' 2.953"""" W"
Esc. Sajalices,Panama,Chame,Sajalices,Primaria Oficial,"8° 41' 12.345"""" N","79° 52' 11.357"""" W"
Esc. El Espavé,Panama,Chame,Sajalices,Primaria Oficial,"8° 39' 48.734"""" N","79° 52' 20.750"""" W"
Esc. Berta Fernández,Panama,Chame,Bejuco,Primaria Oficial,"8° 35' 51.529"""" N","79° 53' 15.628"""" W"
Esc. Sta. Cruz,Panama,Chame,Bejuco,Primaria Oficial,"8° 37' 53.790"""" N","79° 52' 55.769"""" W"
Esc. Rafael Maduro,Panama,Chame,Chame (Cab.),Primaria Oficial,"8° 35' 13.599"""" N","79° 52' 57.280"""" W"
Esc. El Líbano,Panama,Chame,El Líbano,Primaria Oficial,"8° 37' 8.121"""" N","79° 49' 57.817"""" W"
Esc. Rodeo Viejo,Panama,San Carlos,San José,Primaria Oficial,"8° 31' 56.610"""" N","79° 57' 7.993"""" W"
Esc. Nvo. Chorrillo,Panama,Arraijan,Juan D. Arosemena,Primaria Oficial,"8° 57' 9.702"""" N","79° 41' 32.518"""" W"
Esc. Res. Vacamonte,Panama,Arraijan,Vista Alegre,Primaria Oficial,"8° 54' 55.372"""" N","79° 42' 0.121"""" W"
Esc. Brisas del Chumical,Panama,Arraijan,Vista Alegre,Primaria Oficial,"8° 54' 54.286"""" N","79° 41' 25.540"""" W"
Esc. Chino Panameña,Panama,Panama,Ancón,Privada,"9° 0' 15.204"""" N","79° 32' 41.429"""" W"
Esc. Villa Milagros,Panama,Panama,Las Cumbres,Primaria Oficial,"9° 5' 28.946"""" N","79° 30' 17.203"""" W"
Esc. San Pablo y Villa Nueva,Panama,Panama,Las Cumbres,Primaria Oficial,"9° 7' 10.146"""" N","79° 35' 6.394"""" W"
Esc. Caimitillo Centro,Panama,Panama,Chilibre,Primaria Oficial,"9° 9' 30.038"""" N","79° 32' 25.636"""" W"
Esc. Nvo. Emperador,Panama,Arraijan,Nuevo Emperador,Primaria Oficial,"9° 0' 4.505"""" N","79° 43' 49.904"""" W"
Esc. Sta. Clara,Panama,Arraijan,Santa Clara,Primaria Oficial,"9° 2' 12.569"""" N","79° 45' 3.403"""" W"
Esc. Huile,Panama,Arraijan,Santa Clara,Primaria Oficial,"9° 2' 6.571"""" N","79° 44' 19.238"""" W"
Esc. Nva. Gorgona,Panama,Chame,Nueva Gorgona,Primaria Oficial,"8° 33' 2.028"""" N","79° 52' 17.591"""" W"
Esc. Coloncito,Panama,Chame,Nueva Gorgona,Primaria Oficial,"8° 33' 57.588"""" N","79° 53' 35.129"""" W"
Esc. Reino de los Países Bajos,Panama,Panama,Las Mañanitas,Primaria Oficial,"9° 4' 59.563"""" N","79° 24' 19.291"""" W"
Esc. José Gabriel Duque,Panama,Chepo,Chepo (Cab.),Primaria Oficial,"9° 10' 22.165"""" N","79° 5' 18.724"""" W"
Esc. Superación Campesina,Panama,Chepo,Chepo (Cab.),Primaria Oficial,"9° 9' 53.971"""" N","79° 8' 53.456"""" W"
Esc. Unión de Azuero,Panama,Chepo,Chepo (Cab.),Primaria Oficial,"9° 9' 27.780"""" N","79° 10' 7.918"""" W"
Esc. Jesus Maria,Panama,Chepo,Chepo (Cab.),Primaria Oficial,"9° 10' 1.238"""" N","78° 59' 46.683"""" W"
Esc. Juan Bañón Adentro,Panama,Chepo,Chepo (Cab.),Primaria Oficial,"9° 6' 13.643"""" N","79° 0' 14.205"""" W"
Esc. Qda. Trapiche,Panama,Chepo,Chepo (Cab.),Primaria Oficial,"9° 5' 59.200"""" N","78° 57' 23.666"""" W"
Esc. Rio Calobre Abajo,Panama,Chepo,Chepo (Cab.),Primaria Oficial,"9° 8' 10.283"""" N","78° 57' 0.240"""" W"
Esc. Tigre Arriba,Panama,Chepo,Chepo (Cab.),Primaria Oficial,"9° 4' 35.149"""" N","79° 2' 22.832"""" W"
Esc. Ciro Rivera,Panama,Chepo,Chepillo,Primaria Oficial,"8° 57' 12.618"""" N","79° 7' 39.489"""" W"
Esc. José del C. Echevers,Panama,Chepo,Las Margaritas,Primaria Oficial,"9° 11' 21.707"""" N","79° 5' 13.175"""" W"
Esc. Chararé,Panama,Chepo,Las Margaritas,Primaria Oficial,"9° 16' 11.784"""" N","79° 3' 46.218"""" W"
Esc. San José del Madroño,Panama,Chepo,Las Margaritas,Primaria Oficial,"9° 18' 10.990"""" N","79° 7' 40.257"""" W"
Esc. Mamoní Arriba,Panama,Chepo,Las Margaritas,Primaria Oficial,"9° 17' 0.131"""" N","79° 13' 52.179"""" W"
Esc. La Zaína,Panama,Chepo,Las Margaritas,Primaria Oficial,"9° 17' 37.347"""" N","79° 10' 33.379"""" W"
Esc. Chinina Abajo,Panama,Chepo,Santa Cruz de Chinina,Primaria Oficial,"8° 58' 41.716"""" N","79° 1' 36.356"""" W"
Esc. Martinambo,Panama,Chepo,Santa Cruz de Chinina,Primaria Oficial,"9° 2' 12.745"""" N","79° 2' 41.233"""" W"
Esc. Rio Nazareno,Panama,Chepo,Santa Cruz de Chinina,Primaria Oficial,"8° 58' 13.995"""" N","78° 54' 23.981"""" W"
Esc. Rio Lagarto,Panama,Chepo,Santa Cruz de Chinina,Primaria Oficial,"8° 57' 1.873"""" N","78° 57' 25.426"""" W"
Esc. Clímaco Delgado,Panama,Chepo,Cañita,Primaria Oficial,"9° 12' 57.561"""" N","78° 53' 16.142"""" W"
Esc. Rio Piedra,Panama,Chepo,Cañita,Primaria Oficial,"9° 13' 3.185"""" N","78° 52' 35.161"""" W"
Esc. Jenene,Panama,Chepo,Cañita,Primaria Oficial,"9° 13' 5.567"""" N","78° 50' 46.698"""" W"
Esc. Buenos Aires,Panama,Chepo,Cañita,Primaria Oficial,"9° 14' 51.862"""" N","78° 49' 11.828"""" W"
Esc. Lorenza G. de Lasso,Panama,Chepo,El Llano,Primaria Oficial,"9° 13' 21.807"""" N","78° 58' 1.187"""" W"
Esc. Platanares,Panama,Chepo,El Llano,Primaria Oficial,"9° 12' 59.400"""" N","79° 0' 29.338"""" W"
Esc. Loma del Naranjo,Panama,Chepo,El Llano,Primaria Oficial,"9° 9' 53.232"""" N","78° 53' 12.873"""" W"
Esc. Calobre Ciénaga,Panama,Chepo,El Llano,Primaria Oficial,"9° 7' 27.610"""" N","78° 54' 48.401"""" W"
Esc. Tres Quebradas,Panama,Chepo,El Llano,Primaria Oficial,"9° 6' 10.350"""" N","78° 53' 59.152"""" W"
Esc. Rio Tigre Abajo,Panama,Chepo,El Llano,Primaria Oficial,"9° 4' 12.878"""" N","78° 47' 39.707"""" W"
Esc. Jesus de Nazareno,Panama,Chepo,El Llano,Primaria Oficial,"9° 0' 52.607"""" N","78° 51' 19.463"""" W"
Esc. Loma Bonita,Panama,Chepo,Tortí,Primaria Oficial,"9° 1' 4.488"""" N","78° 33' 37.012"""" W"
Esc. Ipetí Choco,Panama,Chepo,Tortí,Primaria Oficial,"8° 58' 11.487"""" N","78° 30' 58.779"""" W"
Esc. Pingandí,Panama,Chepo,Tortí,Primaria Oficial,"8° 59' 39.909"""" N","78° 9' 12.126"""" W"
Esc. Maria Elena Díaz,Panama,Chepo,Tortí,Primaria Oficial,"8° 58' 1.368"""" N","78° 27' 59.534"""" W"
Esc. Rio Tortí,Panama,Chepo,Tortí,Primaria Oficial,"8° 55' 9.769"""" N","78° 23' 49.208"""" W"
Esc. Playa Chuzo,Panama,Chepo,Tortí,Primaria Oficial,"8° 55' 21.494"""" N","78° 21' 2.184"""" W"
Esc. Nvo. Panama,Panama,Chepo,Tortí,Primaria Oficial,"8° 53' 36.173"""" N","78° 19' 34.238"""" W"
Esc. Palmas Bellas,Panama,Chepo,Tortí,Primaria Oficial,"8° 52' 41.048"""" N","78° 17' 31.599"""" W"
Esc. Acuayala,Panama,Chepo,Comarca Kuna de Madugandí,Primaria Oficial,"9° 10' 42.407"""" N","78° 48' 11.952"""" W"
Esc. Icantí,Panama,Chepo,Comarca Kuna de Madugandí,Primaria Oficial,"9° 13' 0.854"""" N","78° 41' 24.818"""" W"
Esc. Atanasio Morales,Panama,Chepo,Comarca Kuna de Madugandí,Primaria Oficial,"8° 59' 16.208"""" N","78° 30' 11.234"""" W"
Esc. Puerto Limón,Panama,Chepo,Comarca Kuna de Madugandí,Primaria Oficial,"8° 59' 50.758"""" N","78° 13' 25.474"""" W"
Esc. José Sotero Angulo,Panama,Chiman,Chiman (Cab.),Primaria Oficial,"8° 42' 53.576"""" N","78° 37' 58.054"""" W"
Esc. 10 de Noviembre,Panama,Chiman,Unión Santeña,Primaria Oficial,"8° 49' 55.564"""" N","78° 38' 57.353"""" W"
Esc. Rio Platanares,Panama,Chiman,Pásiga,Primaria Oficial,"8° 52' 0.204"""" N","78° 46' 28.405"""" W"
Esc. Oquendo,Panama,Chiman,Pásiga,Primaria Oficial,"8° 54' 50.478"""" N","78° 52' 41.863"""" W"
Esc. La Mina,Panama,Chiman,Pásiga,Primaria Oficial,"8° 56' 11.720"""" N","78° 54' 30.081"""" W"
Esc. Brujas,Panama,Chiman,Brujas,Primaria Oficial,"8° 35' 10.990"""" N","78° 31' 59.946"""" W"
Esc. San Buena Ventura,Panama,Chiman,Brujas,Primaria Oficial,"8° 30' 34.565"""" N","78° 29' 43.798"""" W"
Esc. Maje,Panama,Chiman,Chiman (Cab.),Primaria Oficial,"8° 44' 34.284"""" N","78° 33' 1.993"""" W"
Esc. El Hato,Panama,Chiman,Unión Santeña,Primaria Oficial,"8° 48' 33.478"""" N","78° 43' 59.291"""" W"
Esc. Rio Hondo,Panama,Chiman,Unión Santeña,Primaria Oficial,"8° 50' 52.753"""" N","78° 44' 18.847"""" W"
Esc. Gónzalo Vásquez,Panama,Chiman,Gonzalo Vásquez,Primaria Oficial,"8° 25' 18.753"""" N","78° 26' 58.175"""" W"
Colegio José A. Remón Cantera,Panama,Panama,San Francisco,Secundaria Oficial,"8° 58' 54.555"""" N","79° 30' 48.324"""" W"
Esc. José Dolores Moscote,Panama,Panama,Parque Lefevre,Secundaria Oficial,"9° 1' 9.713"""" N","79° 29' 19.112"""" W"
I. P. T. Don Bosco,Panama,Panama,Juan Díaz,Secundaria Oficial,"9° 2' 58.595"""" N","79° 24' 54.089"""" W"
Esc. Fermín Naudeu,Panama,Panama,Betania,Secundaria Oficial,"8° 59' 42.273"""" N","79° 32' 13.497"""" W"
Inst. América,Panama,Panama,Betania,Secundaria Oficial,"9° 1' 13.030"""" N","79° 31' 43.858"""" W"
C.O.I.F. Banconal,Panama,Panama,Betania,C.O.I.F,"9° 1' 31.289"""" N","79° 31' 18.894"""" W"
Esc. Sta. Familia,Panama,Panama,Betania,Secundaria Oficial,"9° 0' 35.358"""" N","79° 31' 29.276"""" W"
Esc. Primer Ciclo Panama,Panama,Panama,Bella Vista,Secundaria Oficial,"8° 58' 30.829"""" N","79° 32' 0.255"""" W"
Inst. Panamericano,Panama,Panama,Pueblo Nuevo,Privada,"9° 0' 17.040"""" N","79° 30' 51.041"""" W"
Esc. Kuna Nega,Panama,Panama,Ancón,Primaria Oficial,"9° 3' 35.359"""" N","79° 33' 24.661"""" W"
Instituto Bolívar,Panama,Panama,Ancón,Secundaria Oficial,"8° 57' 2.950"""" N","79° 33' 15.787"""" W"
Esc. Simón Bolívar,Panama,Panama,San Felipe,Primaria Oficial,"8° 57' 13.104"""" N","79° 32' 1.602"""" W"
Esc. Rep. de México,Panama,Panama,San Felipe,Primaria Oficial,"8° 57' 12.798"""" N","79° 32' 8.579"""" W"
Centro Básico Amador Guerrero,Panama,Panama,El Chorrillo,Secundaria Oficial,"8° 56' 58.121"""" N","79° 32' 31.872"""" W"
Inst. Nacional,Panama,Panama,Santa Ana,Secundaria Oficial,"8° 57' 28.271"""" N","79° 32' 34.645"""" W"
Colegio Javier,Panama,Panama,La Exposición o Calidonia,Privada,"8° 58' 32.875"""" N","79° 32' 10.722"""" W"
Esc. Rep. de Venezuela,Panama,Panama,La Exposición o Calidonia,Primaria Oficial,"8° 57' 49.783"""" N","79° 32' 14.731"""" W"
Esc. Artes y Oficios,Panama,Panama,Curundú,Secundaria Oficial,"8° 59' 11.438"""" N","79° 32' 8.523"""" W"
Esc. Amelia Denis de Icaza,Panama,San Miguelito,Amelia Denis de Icaza,Primaria Oficial,"9° 2' 41.064"""" N","79° 30' 15.171"""" W"
Esc. Sinaí,Panama,San Miguelito,Belisario Porras,Primaria Oficial,"9° 3' 14.421"""" N","79° 29' 42.102"""" W"
I. P. T. de San Miguelito,Panama,San Miguelito,Belisario Frías,Secundaria Oficial,"9° 4' 37.285"""" N","79° 29' 29.384"""" W"
Esc. Rogelio Sinán,Panama,San Miguelito,Belisario Frías,Primaria Oficial,"9° 4' 49.491"""" N","79° 29' 18.452"""" W"
I. P. T. Angel Rubio,Panama,San Miguelito,José Domingo Espinar,Secundaria Oficial,"9° 3' 8.201"""" N","79° 27' 46.359"""" W"
Colegio Bilingüe Cerro Viento,Panama,San Miguelito,Rufina Alfaro,Privada,"9° 3' 19.792"""" N","79° 27' 18.534"""" W"
Esc. Rep. de Polonia,Panama,San Miguelito,Belisario Frías,Primaria Oficial,"9° 4' 29.426"""" N","79° 29' 0.353"""" W"
Esc. Pureza de Maria,Panama,San Miguelito,José Domingo Espinar,Privada,"9° 2' 50.040"""" N","79° 28' 52.415"""" W"
Esc. Martín Luther King,Panama,San Miguelito,Arnulfo Arias Madrid,Primaria Oficial,"9° 3' 35.371"""" N","79° 29' 22.187"""" W"
Inst. Alfredo CAnton,Panama,San Miguelito,Mateo Iturralde,Secundaria Oficial,"9° 2' 3.097"""" N","79° 29' 41.772"""" W"
Inst. Rubiano,Panama,San Miguelito,Victoriano Lorenzo,Secundaria Oficial,"9° 2' 8.753"""" N","79° 30' 14.621"""" W"
Esc. Buena Vista,Panama,Chame,Buenos Aires,Primaria Oficial,"8° 40' 6.717"""" N","79° 58' 2.431"""" W"
Esc. Chica,Panama,Chame,Chicá,Primaria Oficial,"8° 39' 48.551"""" N","79° 56' 26.821"""" W"
Esc. Pta. Chame,Panama,Chame,Punta Chame,Primaria Oficial,"8° 38' 46.834"""" N","79° 42' 27.807"""" W"
Esc. Manglarito,Panama,Chame,Sorá,Primaria Oficial,"8° 40' 27.718"""" N","80° 1' 17.496"""" W"
Esc. El Nanzal,Panama,Chame,Sorá,Primaria Oficial,"8° 40' 42.280"""" N","79° 59' 32.300"""" W"
Esc. El Jobo,Panama,Chame,Sorá,Primaria Oficial,"8° 38' 31.738"""" N","79° 57' 58.970"""" W"
Esc. Mata Ahogado,Panama,San Carlos,Los Llanitos,Primaria Oficial,"8° 37' 43.302"""" N","80° 5' 46.529"""" W"
Esc. Chichibalí,Panama,San Carlos,Los Llanitos,Primaria Oficial,"8° 34' 6.997"""" N","80° 6' 8.365"""" W"
Esc. El Roble,Panama,San Carlos,Los Llanitos,Primaria Oficial,"8° 34' 50.263"""" N","80° 6' 29.543"""" W"
Esc. La Uva,Panama,San Carlos,El Espino,Primaria Oficial,"8° 31' 48.440"""" N","80° 0' 53.327"""" W"
Esc. El Copé,Panama,San Carlos,El Higo,Primaria Oficial,"8° 30' 7.820"""" N","80° 3' 8.846"""" W"
Esc. La Pita,Panama,San Carlos,La Ermita,Primaria Oficial,"8° 29' 55.669"""" N","80° 4' 44.758"""" W"
Esc. La Laguna,Panama,San Carlos,La Laguna,Primaria Oficial,"8° 36' 23.297"""" N","80° 2' 49.757"""" W"
Esc. El Picacho,Panama,San Carlos,La Laguna,Primaria Oficial,"8° 37' 44.148"""" N","80° 2' 48.712"""" W"
Esc. José de la Rosa Bernal,Panama,San Carlos,La Laguna,Primaria Oficial,"8° 35' 44.538"""" N","80° 1' 31.065"""" W"
Esc. Estado de Minnessota,Panama,Arraijan,Arraijan (Cab.),Primaria Oficial,"8° 56' 52.181"""" N","79° 38' 2.591"""" W"
Esc. Bique,Panama,Arraijan,Cerro Silvestre,Primaria Oficial,"8° 54' 51.731"""" N","79° 40' 16.705"""" W"
Esc. Zanguengas,Panama,La Chorrera,Herrera,Primaria Oficial,"8° 57' 27.362"""" N","79° 52' 14.184"""" W"
Esc. Benjamín Quintero,Panama,Taboga,Taboga (Cab.),Primaria Oficial,"8° 47' 44.773"""" N","79° 33' 21.641"""" W"
Esc. Juana Maria Menchado de Jiménez,Panama,Taboga,Otoque Oriente,Primaria Oficial,"8° 36' 6.347"""" N","79° 35' 37.929"""" W"
Esc. José I. Muñóz,Panama,Balboa,San Miguel (Cab.),Primaria Oficial,"8° 27' 24.417"""" N","78° 56' 9.775"""" W"
Esc. Martín Pérez,Panama,Balboa,San Miguel (Cab.),Primaria Oficial,"8° 22' 32.992"""" N","78° 57' 49.107"""" W"
Esc. Saboga,Panama,Balboa,Saboga,Primaria Oficial,"8° 37' 32.717"""" N","79° 3' 42.786"""" W"
Esc. José Dolores Luna Rivero,Panama,Balboa,Pedro Gonzalez,Primaria Oficial,"8° 24' 52.420"""" N","79° 6' 10.337"""" W"
Esc. La Ensenada,Panama,Balboa,La Ensenada,Primaria Oficial,"8° 21' 52.885"""" N","78° 50' 45.353"""" W"
Esc. La Esmeralda,Panama,Balboa,La Esmeralda,Primaria Oficial,"8° 16' 4.975"""" N","78° 55' 26.142"""" W"
Esc. La Guinea,Panama,Balboa,La Guinea,Primaria Oficial,"8° 20' 31.077"""" N","78° 56' 5.828"""" W"
Esc. Nvo. Caimitillo,Panama,Panama,Chilibre,Primaria Oficial,"9° 12' 15.557"""" N","79° 32' 14.182"""" W"
Esc. Qda. Benitez,Panama,Panama,Chilibre,Primaria Oficial,"9° 16' 9.844"""" N","79° 34' 8.773"""" W"
Esc. San Juan Pekeni,Panama,Panama,Chilibre,Primaria Oficial,"9° 22' 40.225"""" N","79° 31' 32.816"""" W"
Esc. Guillermo Patterson,Panama,Panama,Las Cumbres,Primaria Oficial,"9° 4' 40.385"""" N","79° 34' 13.139"""" W"
Esc. Villa Cárdenas,Panama,Panama,Las Cumbres,Primaria Oficial,"9° 3' 39.623"""" N","79° 32' 55.381"""" W"
I. P. T. Pacora,Panama,Panama,Pacora,Secundaria Oficial,"9° 6' 24.740"""" N","79° 21' 46.878"""" W"
Esc. Utive,Panama,Panama,Pacora,Primaria Oficial,"9° 9' 17.781"""" N","79° 19' 24.851"""" W"
Esc. Luis N. Herazo,Panama,Panama,Pacora,Primaria Oficial,"9° 6' 47.376"""" N","79° 20' 13.191"""" W"
Esc. Los Lotes,Panama,Panama,Pacora,Primaria Oficial,"9° 7' 29.601"""" N","79° 17' 27.543"""" W"
Esc. Paso Blanco,Panama,Panama,Pacora,Primaria Oficial,"9° 7' 43.968"""" N","79° 14' 46.699"""" W"
Esc. Pueblo Nuevo,Panama,Panama,Pacora,Primaria Oficial,"9° 7' 38.301"""" N","79° 18' 28.107"""" W"
Esc. San Diego,Panama,Panama,Pacora,Primaria Oficial,"9° 5' 59.466"""" N","79° 15' 7.987"""" W"
Esc. Altos de Pacora,Panama,Panama,Pacora,Primaria Oficial,"9° 15' 12.127"""" N","79° 20' 33.763"""" W"
Esc. Felipillo,Panama,Panama,Pacora,Primaria Oficial,"9° 5' 53.760"""" N","79° 19' 35.921"""" W"
Esc. Unión Centroamericana,Panama,Panama,Pacora,Primaria Oficial,"9° 6' 27.737"""" N","79° 20' 13.192"""" W"
Esc. Juan Gil,Panama,Panama,San Martín,Primaria Oficial,"9° 10' 48.355"""" N","79° 15' 23.091"""" W"
Esc. La Mesa,Panama,Panama,San Martín,Primaria Oficial,"9° 10' 41.944"""" N","79° 16' 17.861"""" W"
Esc. Carriazo,Panama,Panama,San Martín,Primaria Oficial,"9° 12' 12.694"""" N","79° 14' 34.009"""" W"
Esc. Rio Indio,Panama,Panama,San Martín,Primaria Oficial,"9° 12' 27.554"""" N","79° 13' 33.116"""" W"
Esc. San Miguel,Panama,Panama,San Martín,Primaria Oficial,"9° 13' 24.220"""" N","79° 15' 12.352"""" W"
Esc. Tería Nacimiento,Panama,Capira,Cirí Grande,Primaria Oficial,"8° 46' 14.702"""" N","80° 4' 59.534"""" W"
Esc. Claras Abajo,Panama,Capira,Santa Rosa,Primaria Oficial,"8° 51' 37.442"""" N","80° 9' 34.856"""" W"
Esc. Ntra. Sra. de Fátima,Panama,Capira,El Cacao,Primaria Oficial,"8° 43' 21.250"""" N","80° 0' 13.555"""" W"
Esc. Qda. Grande,Panama,Chepo,Tortí,Primaria Oficial,"9° 2' 56.136"""" N","78° 38' 5.580"""" W"
Esc. Colonia Santeña,Panama,Chepo,Tortí,Primaria Oficial,"8° 53' 44.918"""" N","78° 30' 58.259"""" W"
Esc. Las Lajitas,Panama,La Chorrera,Feuillet,Primaria Oficial,"8° 51' 33.656"""" N","79° 51' 32.740"""" W"
Esc. Manuel Santos,Panama,Chepo,Santa Cruz de Chinina,Primaria Oficial,"9° 1' 51.664"""" N","78° 59' 18.312"""" W"
Esc. El Valle de La Unión,Panama,Chepo,Santa Cruz de Chinina,Primaria Oficial,"9° 0' 1.815"""" N","78° 55' 46.603"""" W"
Esc. San José,Panama,Chepo,Santa Cruz de Chinina,Primaria Oficial,"9° 1' 39.217"""" N","78° 57' 18.449"""" W"
Esc. Presidente Valdés,Panama,Panama,San Felipe,Primaria Oficial,"8° 57' 2.175"""" N","79° 32' 17.588"""" W"
Inst. Justo Arosemena,Panama,Panama,San Francisco,Privada,"8° 59' 13.080"""" N","79° 30' 16.817"""" W"
Esc. Malambo,Panama,Panama,Santa Ana,Privada,"8° 57' 13.537"""" N","79° 32' 25.168"""" W"
Colegio San Vicente de Paul,Panama,Panama,Santa Ana,Privada,"8° 57' 38.735"""" N","79° 32' 31.432"""" W"
Colegio Maria Auxiliadora,Panama,Panama,La Exposición o Calidonia,Privada,"8° 57' 55.721"""" N","79° 32' 5.174"""" W"
Colegio Regio Montero,Panama,Panama,Bella Vista,Privada,"8° 58' 31.384"""" N","79° 31' 51.796"""" W"
Esc. Japonesa de Panama,Panama,Panama,Bella Vista,Privada,"8° 58' 40.684"""" N","79° 31' 14.141"""" W"
Kinder Claret,Panama,Panama,Bella Vista,Kinder,"8° 58' 59.962"""" N","79° 31' 19.525"""" W"
Esc. Experimental,Panama,Panama,Bella Vista,Privada,"8° 58' 58.955"""" N","79° 31' 1.259"""" W"
Universidad Columbus,Panama,Panama,Bella Vista,Universidad,"8° 59' 35.402"""" N","79° 31' 22.381"""" W"
Colegio Episcopal,Panama,Panama,Bella Vista,Privada,"8° 59' 44.462"""" N","79° 31' 23.889"""" W"
Universidad Nacional,Panama,Panama,Bella Vista,Universidad,"8° 59' 1.609"""" N","79° 32' 4.267"""" W"
Universidad Tecnológica,Panama,Panama,Bella Vista,Universidad,"8° 59' 4.072"""" N","79° 31' 52.401"""" W"
Colegio Las Esclavas,Panama,Panama,San Francisco,Privada,"8° 58' 48.346"""" N","79° 30' 56.535"""" W"
Colegio Richard Newman,Panama,Panama,San Francisco,Secundaria Oficial,"8° 58' 51.457"""" N","79° 30' 52.114"""" W"
Inst. Alberto Einstein,Panama,Panama,San Francisco,Privada,"8° 59' 10.583"""" N","79° 30' 31.348"""" W"
Inst. Técnico Don Bosco,Panama,Panama,San Francisco,Privada,"8° 59' 9.061"""" N","79° 30' 27.694"""" W"
Inst. Justo Arosemena (Primaria),Panama,Panama,San Francisco,Privada,"8° 59' 13.203"""" N","79° 30' 22.201"""" W"
Inst. Cooperativo Interamericano,Panama,Panama,Pueblo Nuevo,Privada,"9° 0' 51.674"""" N","79° 30' 32.199"""" W"
Inst. Santa Maria La Antigua,Panama,Panama,Betania,Universidad,"9° 1' 44.817"""" N","79° 31' 14.005"""" W"
Inst. Bíblico,Panama,Panama,Betania,Privada,"9° 0' 58.481"""" N","79° 31' 7.193"""" W"
Universidad Tecnológica,Panama,Panama,Ancón,Universidad,"9° 1' 26.378"""" N","79° 31' 54.845"""" W"
Inst. Episcopal,Panama,Panama,Parque Lefevre,Privada,"9° 0' 54.465"""" N","79° 29' 42.569"""" W"
Esc. Osiris,Panama,Panama,Juan Díaz,Privada,"9° 3' 34.370"""" N","79° 25' 6.534"""" W"
Inst. Cultural,Panama,San Miguelito,Victoriano Lorenzo,Privada,"9° 2' 14.241"""" N","79° 30' 31.403"""" W"
Esc. Cerro Viento Rural,Panama,San Miguelito,Rufina Alfaro,Primaria Oficial,"9° 4' 25.776"""" N","79° 27' 28.918"""" W"
I.P.H.E.,Panama,La Chorrera,Barrio Colon,I.P.H.E.,"8° 53' 29.490"""" N","79° 46' 38.739"""" W"
Inst. Tomás G. Duque,Panama,Panama,La Exposición o Calidonia,Privada,"8° 57' 46.913"""" N","79° 32' 18.440"""" W"
Colegio Anglo Americano,Panama,Panama,Bella Vista,Privada,"8° 58' 31.820"""" N","79° 31' 58.827"""" W"
Esc. El Hogar,Panama,Panama,Bella Vista,Privada,"8° 58' 32.316"""" N","79° 32' 2.785"""" W"
Esc. Bella Vista,Panama,Panama,Bella Vista,Privada,"8° 58' 33.823"""" N","79° 32' 1.960"""" W"
Esc. Santa Eufracia Pelletiers,Panama,Panama,San Francisco,Primaria Oficial,"8° 58' 47.583"""" N","79° 30' 44.340"""" W"
Esc. Italiana Francisco Fermi,Panama,Panama,San Francisco,Privada,"8° 59' 16.972"""" N","79° 30' 23.849"""" W"
