Regi¢n;Proveedor;PA;Nombre;Provincia;Distrito;Corregimiento;Data (GB);Estado
1;C&W Panam†;113;Esc. La Celmira;Chiriqu°;Bugaba;Aserr°o de GarichÇ;458;Normal
1;C&W Panam†;114;Esc. Port¢n;Chiriqu°;Bugaba;Aserr°o de GarichÇ;163;Normal
1;C&W Panam†;115;Esc. San Isidro;Chiriqu°;Bugaba;Aserr°o de GarichÇ;14;Normal
1;C&W Panam†;116;Esc. San Pedro;Chiriqu°;Bugaba;Aserr°o de GarichÇ;108;Normal
1;C&W Panam†;117;Parque Aserr°o de Gariche;Chiriqu°;Bugaba;Aserr°o de GarichÇ;239;Normal
1;C&W Panam†;118;Esc. Brisas del R°o;Chiriqu°;Bugaba;Bugaba;51;Normal
1;C&W Panam†;119;Esc. Mata de Bugaba;Chiriqu°;Bugaba;Bugaba;62;Fuerza Mayor
1;C&W Panam†;120;Municipio de Bugaba;Chiriqu°;Bugaba;Bugaba;18;Normal
1;C&W Panam†;121;C.E.B.G. Cerro Punta;Chiriqu°;Tierras Altas;Cerro Punta;9;Normal
1;C&W Panam†;122;Centro de Salud Cerro Punta;Chiriqu°;Tierras Altas;Cerro Punta;43;Normal
1;C&W Panam†;123;Esc. Guadalupe/Fernando Eleta Almar†n;Chiriqu°;Bugaba;Cerro Punta;13;Normal
1;C&W Panam†;124;Esc. Nueva Suiza;Chiriqu°;Tierras Altas;Cerro Punta;16;Normal
1;C&W Panam†;125;Esc. G¢mez;Chiriqu°;Bugaba;G¢mez;207;Normal
1;C&W Panam†;126;Esc. San Miguel de Exquisito;Chiriqu°;Bugaba;G¢mez;32;Normal
1;C&W Panam†;128;Biblioteca Catolica;Chiriqu°;Bugaba;La Concepci¢n;0;Normal
1;C&W Panam†;129;Biblioteca P£blica La Concepci¢n CENTRO ACP;Chiriqu°;Bugaba;La Concepci¢n;58;Normal
1;C&W Panam†;131;Centro Cristiano Bugaba;Chiriqu°;Bugaba;La Concepci¢n;0;Normal
1;C&W Panam†;132;Esc. Cuesta de Piedra;Chiriqu°;Bugaba;La Concepci¢n;2;Normal
1;C&W Panam†;133;Esc. de Solano;Chiriqu°;Bugaba;La Concepci¢n;64;Normal
1;C&W Panam†;134;Esc. San Vicente;Chiriqu°;Bugaba;La Concepci¢n;3;Normal
1;C&W Panam†;135;Escuela Belen;Chiriqu°;Bugaba;La Concepci¢n;1;Fuerza Mayor
1;C&W Panam†;136;Escuela Daniel Octavio Crespo;Chiriqu°;Bugaba;La Concepci¢n;2;Normal
1;C&W Panam†;137;I.P.T. Solano;Chiriqu°;Bugaba;La Concepci¢n;0;Normal
1;C&W Panam†;139;Parque Central Bugaba;Chiriqu°;Bugaba;La Concepci¢n;28;Normal
1;C&W Panam†;140;Parque Infantil (Orillas de la interamericana);Chiriqu°;Bugaba;La Concepci¢n;23;Normal
1;C&W Panam†;142;Primaria Justo Abel Castillo;Chiriqu°;Bugaba;La Concepci¢n;0;Fuerza Mayor
1;C&W Panam†;143;Centro de Salud La Estrella;Chiriqu°;Bugaba;La Estrella;168;Normal
1;C&W Panam†;144;Esc. La Estrella;Chiriqu°;Bugaba;La Estrella;185;Normal
1;C&W Panam†;145;ESC. LA TRANCA;Chiriqu°;Bugaba;La Estrella;20;Normal
1;C&W Panam†;146;Esc. Siogu° Abajo Nß 2;Chiriqu°;Bugaba;La Estrella;23;Normal
1;C&W Panam†;147;Esc. San AndrÇs;Chiriqu°;Bugaba;San AndrÇs;47;Normal
1;C&W Panam†;148;Esc. San Francisco;Chiriqu°;Bugaba;San AndrÇs;238;Normal
1;C&W Panam†;149;P.C. San AndrÇs;Chiriqu°;Bugaba;San AndrÇs;5;Normal
1;C&W Panam†;150;Escuela Santa Marta;Chiriqu°;Bugaba;Santa Marta;4;Normal
1;C&W Panam†;151;Esc. Manchuila;Chiriqu°;Bugaba;Santo Domingo;207;Normal
1;C&W Panam†;152;P.C. Santo Domingo;Chiriqu°;Bugaba;Santo Domingo;0;Normal
1;C&W Panam†;153;Centro de Salud Sortova;Chiriqu°;Bugaba;Sortov†;66;Normal
